Opportunity_ID,Salesperson_Name,Region,Industry,Lead_Source,Deal_Stage,Plan_Type,Concurrent_Sessions,Managed_Devices,Deal_Size (£),ARR (£),Closed_Lost_Reason,Sales_Cycle_Days,Created_Date,Closed_Date
1,Salesperson_1,EU,Other,Marketing,Closed Won,Premium,3,200,27546.24,151096.78,,71,2024-01-01,
2,Salesperson_2,EU,Healthcare,Event,Proposal Sent,Enterprise,5,50,23323.41,184801.16,No Decision,135,2024-01-02,
3,Salesperson_3,EU,Education,Outbound,Closed Won,Essentials,2,150,59926.1,28089.43,,58,2024-01-03,
4,Salesperson_4,EU,Education,Event,Proposal Sent,Plus,2,50,111636.24,128293.84,No Decision,113,2024-01-04,2024-04-21 00:00:00
5,Salesperson_5,EU,Energy & Utilities,Inbound,Proposal Sent,Enterprise,3,50,12665.37,176615.45,,20,2024-01-05,
6,Salesperson_6,EU,Healthcare,Inbound,Closed Won,Premium,5,200,110185.79,121805.79,Budget Constraints,101,2024-01-06,
7,Salesperson_7,North America,Energy & Utilities,Inbound,Closed Lost,Enterprise,3,50,146302.48,79804.43,,25,2024-01-07,
8,Salesperson_8,EU,Energy & Utilities,Outbound,Closed Won,Enterprise,4,3,107587.85,227133.6,Chose Competitor,132,2024-01-08,
9,Salesperson_9,EU,Healthcare,Inbound,Closed Lost,Plus,1,200,41121.19,63461.77,,178,2024-01-09,
10,Salesperson_10,EU,Education,Event,Negotiation,Plus,1,50,93261.93,82202.56,,161,2024-01-10,2024-02-14 00:00:00
11,Salesperson_1,EU,Manufacturing,Partner,Closed Won,Plus,4,50,107484.08,22016.39,,35,2024-01-11,
12,Salesperson_2,EU,Education,Partner,Proposal Sent,Enterprise,3,150,31550.16,50899.38,,143,2024-01-12,2024-07-28 00:00:00
13,Salesperson_3,EU,Other,Inbound,Qualified,Enterprise,5,3,148005.71,225467.96,,33,2024-01-13,
14,Salesperson_4,EU,Energy & Utilities,Outbound,Proposal Sent,Enterprise,5,150,120777.99,39749.25,,179,2024-01-14,
15,Salesperson_5,EU,Managed Service Providers,Inbound,Negotiation,Plus,4,150,77823.24,8120.03,,177,2024-01-15,2024-06-08 00:00:00
16,Salesperson_6,EU,Other,Event,Negotiation,Enterprise,2,3,44994.33,121277.17,,92,2024-01-16,
17,Salesperson_7,EU,Managed Service Providers,Event,Closed Won,Essentials,4,50,67025.94,86843.27,,144,2024-01-17,
18,Salesperson_8,EU,Healthcare,Event,Negotiation,Essentials,4,200,141543.17,48491.19,No Decision,154,2024-01-18,
